"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","EXPEND","Value","Flag and Footnotes"
"2012","Ireland","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Ireland","Thousand euro","Professional, business","1 night or over","Outbound","Total","609,457.47",""
"2012","Ireland","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Greece","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Greece","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","25.21",""
"2012","Greece","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Greece","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","43.12",""
"2012","Greece","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Greece","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","22.79",""
"2012","Greece","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Greece","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","64.22",""
"2012","Greece","Thousand euro","Personal reasons","1 night or over","Domestic","Total","1,140,745.29",""
"2012","Greece","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Greece","Thousand euro","Personal reasons","1 night or over","Outbound","Total","218,318.66",""
"2012","Greece","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Greece","Thousand euro","Professional, business","1 night or over","Domestic","Total","57,816.85",""
"2012","Greece","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Greece","Thousand euro","Professional, business","1 night or over","Outbound","Total","42,449.62",""
"2012","Greece","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Spain","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Spain","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","30.67",""
"2012","Spain","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Spain","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","71.75",""
"2012","Spain","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Spain","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","47.46",""
"2012","Spain","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Spain","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","60.49",""
"2012","Spain","Thousand euro","Personal reasons","1 night or over","Domestic","Total","15,684,966.74",""
"2012","Spain","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Spain","Thousand euro","Personal reasons","1 night or over","Outbound","Total","6,106,201.01",""
"2012","Spain","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Spain","Thousand euro","Professional, business","1 night or over","Domestic","Total","1,998,739.68",""
"2012","Spain","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Spain","Thousand euro","Professional, business","1 night or over","Outbound","Total","671,500.7",""
"2012","Spain","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","France","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","France","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","46.19","b"
"2012","France","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","France","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","106.62","b"
"2012","France","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","France","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","105.79","b"
"2012","France","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","France","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","185.41","b"
"2012","France","Thousand euro","Personal reasons","1 night or over","Domestic","Total","44,696,193.39","b"
"2012","France","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","France","Thousand euro","Personal reasons","1 night or over","Outbound","Total","20,875,222.34","b"
"2012","France","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","France","Thousand euro","Professional, business","1 night or over","Domestic","Total","6,463,649.81","b"
"2012","France","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","France","Thousand euro","Professional, business","1 night or over","Outbound","Total","2,951,603.09","b"
"2012","France","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Croatia","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Croatia","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","26.97",""
"2012","Croatia","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Croatia","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","53.34",""
"2012","Croatia","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Croatia","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","53.99",""
"2012","Croatia","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Croatia","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","110.04",""
"2012","Croatia","Thousand euro","Personal reasons","1 night or over","Domestic","Total","702,837.11",""
"2012","Croatia","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Croatia","Thousand euro","Personal reasons","1 night or over","Outbound","Total","705,664.08",""
"2012","Croatia","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Croatia","Thousand euro","Professional, business","1 night or over","Domestic","Total","145,796.47",""
"2012","Croatia","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Croatia","Thousand euro","Professional, business","1 night or over","Outbound","Total","288,123.63",""
"2012","Croatia","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Italy","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Italy","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","50.94",""
"2012","Italy","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Italy","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","97.62",""
"2012","Italy","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Italy","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","157.5",""
"2012","Italy","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Italy","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","187.04",""
"2012","Italy","Thousand euro","Personal reasons","1 night or over","Domestic","Total","13,721,834.71",""
"2012","Italy","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Italy","Thousand euro","Personal reasons","1 night or over","Outbound","Total","9,055,124.53",""
"2012","Italy","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Italy","Thousand euro","Professional, business","1 night or over","Domestic","Total","2,530,233.75",""
"2012","Italy","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Italy","Thousand euro","Professional, business","1 night or over","Outbound","Total","2,382,388.35",""
"2012","Italy","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Cyprus","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Cyprus","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","22.07","b"
"2012","Cyprus","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Cyprus","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","50.63","b"
"2012","Cyprus","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Cyprus","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","40.7","b"
"2012","Cyprus","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Cyprus","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","86.04","b"
"2012","Cyprus","Thousand euro","Personal reasons","1 night or over","Domestic","Total","94,546.61","b"
"2012","Cyprus","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Cyprus","Thousand euro","Personal reasons","1 night or over","Outbound","Total","578,000.94","b"
"2012","Cyprus","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Cyprus","Thousand euro","Professional, business","1 night or over","Domestic","Total","3,159.51","b"
"2012","Cyprus","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Cyprus","Thousand euro","Professional, business","1 night or over","Outbound","Total","212,165.45","b"
"2012","Cyprus","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Latvia","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Latvia","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","15.97",""
"2012","Latvia","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Latvia","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","52.73",""
"2012","Latvia","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Latvia","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","26.26",""
"2012","Latvia","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Latvia","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","74.99",""
"2012","Latvia","Thousand euro","Personal reasons","1 night or over","Domestic","Total","122,650.66",""
"2012","Latvia","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Latvia","Thousand euro","Personal reasons","1 night or over","Outbound","Total","364,365.06",""
"2012","Latvia","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Latvia","Thousand euro","Professional, business","1 night or over","Domestic","Total","11,492.05",""
"2012","Latvia","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Latvia","Thousand euro","Professional, business","1 night or over","Outbound","Total","99,206.09",""
"2012","Latvia","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Lithuania","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Lithuania","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","16.58",""
"2012","Lithuania","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Lithuania","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","53.33",""
"2012","Lithuania","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Lithuania","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","21.51",""
"2012","Lithuania","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Lithuania","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","78.45",""
"2012","Lithuania","Thousand euro","Personal reasons","1 night or over","Domestic","Total","102,268.76",""
"2012","Lithuania","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Lithuania","Thousand euro","Personal reasons","1 night or over","Outbound","Total","589,685.93",""
"2012","Lithuania","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Lithuania","Thousand euro","Professional, business","1 night or over","Domestic","Total","14,361.9",""
"2012","Lithuania","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Lithuania","Thousand euro","Professional, business","1 night or over","Outbound","Total","147,912.23",""
"2012","Lithuania","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Luxembourg","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Luxembourg","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","52.58",""
"2012","Luxembourg","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Luxembourg","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","97.9",""
"2012","Luxembourg","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Luxembourg","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":","u"
"2012","Luxembourg","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Luxembourg","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","254.48",""
"2012","Luxembourg","Thousand euro","Personal reasons","1 night or over","Domestic","Total","6,025.88",""
"2012","Luxembourg","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Luxembourg","Thousand euro","Personal reasons","1 night or over","Outbound","Total","962,197.18",""
"2012","Luxembourg","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Luxembourg","Thousand euro","Professional, business","1 night or over","Domestic","Total",":","u"
"2012","Luxembourg","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Luxembourg","Thousand euro","Professional, business","1 night or over","Outbound","Total","249,478.15",""
"2012","Luxembourg","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Hungary","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Hungary","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","17.65",""
"2012","Hungary","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Hungary","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","48.73",""
"2012","Hungary","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Hungary","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","20.38",""
"2012","Hungary","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Hungary","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","117.62",""
"2012","Hungary","Thousand euro","Personal reasons","1 night or over","Domestic","Total","778,341.02",""
"2012","Hungary","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Hungary","Thousand euro","Personal reasons","1 night or over","Outbound","Total","1,021,966.26",""
"2012","Hungary","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Hungary","Thousand euro","Professional, business","1 night or over","Domestic","Total","36,847.21",""
"2012","Hungary","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Hungary","Thousand euro","Professional, business","1 night or over","Outbound","Total","202,096.39",""
"2012","Hungary","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Malta","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Malta","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","43.6",""
"2012","Malta","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Malta","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","126.15",""
"2012","Malta","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Malta","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":","u"
"2012","Malta","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Malta","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","181.22",""
"2012","Malta","Thousand euro","Personal reasons","1 night or over","Domestic","Total","25,451.72",""
"2012","Malta","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Malta","Thousand euro","Personal reasons","1 night or over","Outbound","Total","242,873.23",""
"2012","Malta","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Malta","Thousand euro","Professional, business","1 night or over","Domestic","Total",":","u"
"2012","Malta","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Malta","Thousand euro","Professional, business","1 night or over","Outbound","Total","65,521.6",""
"2012","Malta","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Netherlands","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Netherlands","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","25.3","b"
"2012","Netherlands","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Netherlands","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","69.74","b"
"2012","Netherlands","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Netherlands","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","167.61","b"
"2012","Netherlands","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Netherlands","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","217.25","b"
"2012","Netherlands","Thousand euro","Personal reasons","1 night or over","Domestic","Total","2,682,280.16","b"
"2012","Netherlands","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Netherlands","Thousand euro","Personal reasons","1 night or over","Outbound","Total","11,648,346.62","b"
"2012","Netherlands","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Netherlands","Thousand euro","Professional, business","1 night or over","Domestic","Total","294,610.95","b"
"2012","Netherlands","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Netherlands","Thousand euro","Professional, business","1 night or over","Outbound","Total","1,043,232.9","b"
